County,State,TotalPop,Men,Women,White,Black,Native,Asian,Pacific,Other
Jefferson , Iowa,18077,50.4,49.6,83.3,1.8,0,6.1,0,1.5
Johnson , Iowa,147001,49.5,50.5,82.1,6.8,0.2,6.3,0.1,2.2
Jones , Iowa,20568,51.5,48.5,95.4,2.5,0,1.1,0,0
Keokuk , Iowa,10200,51,49,97.8,0.4,0.1,0.3,0,0.2
Kossuth , Iowa,15075,50.1,49.9,97,1.1,0.2,0.5,0,0.4
Lee , Iowa,34541,50.3,49.7,93.7,2.6,0.2,0.6,0,0.5
Linn , Iowa,222121,49.3,50.7,88.4,5.3,0.2,2.3,0.1,0.9
Louisa , Iowa,11223,51,49,91.2,1.1,0.5,3.8,0,2.5
Lucas , Iowa,8597,50.2,49.8,99.1,0.2,0,0,0,0.4
Lyon , Iowa,11769,51.1,48.9,96.9,0.1,0.7,0.2,0.3,0.8
Madison , Iowa,15890,50.5,49.5,97.3,0.2,0.1,1.3,0.1,0.1
Mahaska , Iowa,22208,50.7,49.3,95.1,1.6,0.3,1.4,0.1,0.4
Marion , Iowa,33207,49.3,50.7,95.5,0.6,0.2,0.9,0,0.9
Marshall , Iowa,40271,50.7,49.3,85,1,0.3,3.6,0,7.6
Mills , Iowa,14957,50.3,49.7,96.6,0.9,0.9,0.3,0,0.6
Mitchell , Iowa,10631,49.7,50.3,97.7,0.1,0.6,0.5,0,0.1
Monona , Iowa,8796,48.7,51.3,96.8,0.3,2.1,0,0,0
Monroe , Iowa,7863,51.7,48.3,96,0.1,0,0.1,0,1.4
Montgomery , Iowa,10155,47.9,52.1,95.1,0,0.5,0,0,1.6
Muscatine , Iowa,42950,50,50,91.4,2.3,0.2,0.9,0,2.1
O'Brien , Iowa,13911,50,50,94,1.1,0.3,0.9,0,2.5
Osceola , Iowa,6115,50.5,49.5,94.6,1.3,0.2,0.2,0.1,2.2
Page , Iowa,15363,51.6,48.4,93.9,1.7,0.7,1,0,0.4
Palo Alto , Iowa,9055,49.8,50.2,96.1,2.3,0.2,0.5,0,0.2
Plymouth , Iowa,25039,49.1,50.9,94.8,0.7,0.4,0.5,0.1,2.3
Pocahontas , Iowa,6898,49.1,50.9,96.1,0.6,0.4,1.5,0,0.6
Polk , Iowa,474274,49.3,50.7,84.3,6.6,0.3,4.5,0.1,1.3
Pottawattamie , Iowa,93503,49.1,50.9,92.9,1.5,0.3,0.7,0,2.3
Poweshiek , Iowa,18605,48.3,51.7,93.8,1.9,0,2.1,0,0.3
Sac , Iowa,9868,48.8,51.2,97.4,0.6,0,0.1,0,0.6
Scott , Iowa,172288,49.1,50.9,85.8,7.5,0.4,2.7,0,0.7
Shelby , Iowa,11694,49,51,97,0.8,0.1,0.3,0,0.5
Sioux , Iowa,34825,50.2,49.8,93.2,0.4,0.3,0.7,0.1,3.6
Story , Iowa,96922,52.1,47.9,86.6,1.9,0.2,7.7,0,0.6
Tama , Iowa,17136,49.6,50.4,88.2,0.8,8.1,0.3,0,1.3
Taylor , Iowa,6201,51.1,48.9,95.4,0.2,0.2,0.7,0,2.5
Union , Iowa,12453,48.7,51.3,96.9,0.5,0.2,1.3,0.1,0.2
Van Buren , Iowa,7223,51.2,48.8,97.7,0.7,0,0.1,0,0.2
Wapello , Iowa,35315,49.3,50.7,87.4,3.2,0.2,1.1,0.5,5.7
Warren , Iowa,49361,48.9,51.1,96.2,0.5,0.2,0.6,0.3,0.7
Washington , Iowa,22143,50,50,96.2,0.9,0.3,0.5,0,0.8
Wayne , Iowa,6413,49.2,50.8,97.1,1,0.3,0,0,0
Webster , Iowa,36757,51.6,48.4,91.6,4.7,0.3,1.3,0,0.5
Winnebago , Iowa,10571,49.1,50.9,95.1,1.3,0.6,1.2,0,0.7
Winneshiek , Iowa,20401,49.8,50.2,96.8,0.9,0.1,1.3,0,0.3
Woodbury , Iowa,102398,49.3,50.7,86.2,3.5,1.9,2.9,0.3,2.4
Worth , Iowa,7489,50.1,49.9,96.9,1.3,0,0.3,0,0
Wright , Iowa,12804,49.9,50.1,93.1,0.7,0.4,0.3,0,4.1
Allen , Kansas,12630,49.7,50.3,93.6,1.5,0.3,0.6,0.1,0.3
Anderson , Kansas,7852,50.1,49.9,96.4,0.6,2.1,0,0,0
Atchison , Kansas,16363,48.6,51.4,90.4,2.3,0.5,0.4,0.1,0.2
Barton , Kansas,26791,49.9,50.1,93.7,1.7,1.1,0.2,0.3,0.9
Bourbon , Kansas,14702,49.3,50.7,92.6,3.2,0.5,0.9,0,0.1
Brown , Kansas,9664,48.5,51.5,85.8,1.3,8.1,0.5,0.1,0.3
Butler , Kansas,66468,50.5,49.5,93.2,2.4,0.8,1.2,0,0.2
Cherokee , Kansas,20331,49.2,50.8,90.4,0.6,2.5,0.4,0.4,0.3
Clay , Kansas,8142,50.1,49.9,96.7,0.6,0.7,0.7,0,0
Cloud , Kansas,9060,49.9,50.1,95.4,1.8,0.1,0,0,0.9
Coffey , Kansas,8296,50.6,49.4,95.6,0.6,0.8,0.3,0,0.2
Cowley , Kansas,35591,50.3,49.7,87.7,3.2,1.8,1.6,0.1,1.4
Crawford , Kansas,39108,49.9,50.1,91.3,2.2,0.5,2,0,0.8
Dickinson , Kansas,19004,50.3,49.7,94.7,1.3,0.9,0.4,0,0.4
Doniphan , Kansas,7736,51.2,48.8,92.1,5.5,0.9,0.1,0,0.1
Douglas , Kansas,119319,49.5,50.5,82.5,4.2,2.5,5.2,0,1.1
Ellis , Kansas,28878,49.8,50.2,93.2,1.4,0.2,1.1,0.1,0.7
Ellsworth , Kansas,6293,58.1,41.9,89.3,4.6,0.9,0.6,0,2.1
Finney , Kansas,36957,51.2,48.8,80.4,2.6,0.4,4,0,9.2
Ford , Kansas,34484,51.9,48.1,89.4,2,0.5,1.5,0.1,4.1
Franklin , Kansas,25563,49.2,50.8,93,1.1,0.6,0.3,0,1.9
Geary , Kansas,34895,53.1,46.9,68.4,18.2,1.2,3.1,0.9,2
Grant , Kansas,7616,52.4,47.6,83.9,0,0,0.2,0,14.2
Gray , Kansas,6037,50.1,49.9,97,0.8,0.5,0.1,0.6,0.1
Greenwood , Kansas,6156,50.5,49.5,95.2,0.3,0.1,0.1,0,0.4
Harper , Kansas,5673,50.8,49.2,96.1,0.2,2.5,0.2,0,0.2
Harvey , Kansas,34555,49.8,50.2,93,1.9,0.7,0.7,0.2,0.9
Jackson , Kansas,13318,49.9,50.1,86.5,0.6,7.3,0.6,0.1,0.4
Jefferson , Kansas,18888,50.7,49.3,95.6,0.7,0.7,0,0,0.4
Johnson , Kansas,585502,49,51,86.3,4.7,0.3,4.9,0,0.9
Kingman , Kansas,7470,50.2,49.8,96.8,0.3,0.6,0,0,0.1
Labette , Kansas,20367,49.4,50.6,88.9,4.2,1,0.3,0,0.5
Leavenworth , Kansas,80042,53.6,46.4,82.8,8.8,0.6,1.4,0,1.7
Linn , Kansas,9635,49.8,50.2,95.6,0.6,0.9,0.5,0,0.2
Lyon , Kansas,33299,48.8,51.2,89.5,2.3,0.6,2.1,0,1.3
McPherson , Kansas,28630,49.5,50.5,95.2,1.1,0.5,0.6,0,0.4
Marion , Kansas,12032,49.6,50.4,95.9,0.5,0.1,0.2,0,0.3
Marshall , Kansas,9798,50.3,49.7,96.9,0.5,0.2,0.5,0.2,0.2
Miami , Kansas,33127,49.5,50.5,95.5,1.4,0.8,0.5,0,0.4
Mitchell , Kansas,6222,50.8,49.2,96.9,0.8,0.2,0.2,0,0.1
Montgomery , Kansas,32970,49.8,50.2,85,5.1,3.2,1,0.1,1
Morris , Kansas,5566,49.5,50.5,96,0.1,0.1,0.7,0,0.3
Nemaha , Kansas,10104,50.7,49.3,96.9,0.6,0.5,0.2,0,0.2
Neosho , Kansas,16125,49.1,50.9,94.7,1.2,0.3,0.4,0,0.5
Norton , Kansas,5486,55.3,44.7,92.4,2.7,0.8,0.6,0,0.5
Osage , Kansas,15882,50.2,49.8,96,0.6,0.2,0.2,0,0.1
Ottawa , Kansas,5902,51.6,48.4,96.3,0.9,0.6,0.5,0,0
Pawnee , Kansas,6709,56.2,43.8,89.3,5.2,0.9,0.1,0,2.4
Phillips , Kansas,5408,49,51,96.6,0.7,0.3,0.5,0.1,0
Pottawatomie , Kansas,23545,49.9,50.1,94.4,0.7,1.4,1,0,0.5
Pratt , Kansas,9582,49.9,50.1,93.7,2.3,1.5,0.1,0,0.1
Reno , Kansas,63101,50.4,49.6,91.7,2.8,1,0.6,0,1.1
Rice , Kansas,9762,49.6,50.4,91.5,1.9,0.7,0.9,0.4,2.8
Riley , Kansas,75296,53,47,82.2,6.3,0.4,5,0.2,1.6
Rooks , Kansas,5118,48.2,51.8,96.3,0.9,0.3,0.2,0.2,0.3
Russell , Kansas,6977,49.5,50.5,95.1,1.5,0.1,0,0.7,0.2
Saline , Kansas,54977,49.8,50.2,87.4,2.8,0.5,2.3,0,3.1
Sedgwick , Kansas,512064,49.4,50.6,78.3,9,1,4.3,0,3.2
Seward , Kansas,22692,51.1,48.9,57.5,5.2,0.7,2.9,0,30.6
Shawnee , Kansas,178284,48.4,51.6,82.5,8.3,0.9,1.4,0.1,2.4
Sherman , Kansas,5966,50.3,49.7,90.8,0.7,0.8,0.7,0,5.4
Stevens , Kansas,5686,50.7,49.3,88.5,0.7,0.3,0.2,0,6
Sumner , Kansas,23208,49.9,50.1,94.4,1.1,1.4,0.2,0,0.6
Thomas , Kansas,7824,48.8,51.2,94.3,1.8,0.7,0.7,0.1,1.3
Wabaunsee , Kansas,6888,50.8,49.2,96,0.5,0.5,0.7,0,0.3
Washington , Kansas,5525,51.5,48.5,96.5,0.3,0.1,0,0,0.7
Wilson , Kansas,8780,49.2,50.8,94.5,0.6,0.6,0,0,0.2
Wyandotte , Kansas,164345,49.5,50.5,59.8,22.5,0.4,4.4,0.2,8.2
Adair , Kentucky,19241,49.5,50.5,94.6,3.3,0.2,0.3,0,0.5
Allen , Kentucky,20794,49.7,50.3,95.3,1.5,0,0.4,0,1.3
Anderson , Kentucky,22214,48.9,51.1,95.3,2.5,0,0.3,0.1,0.3
Ballard , Kentucky,8090,49.3,50.7,93.3,4.2,0.5,0.4,0,0.1
Barren , Kentucky,43680,48.5,51.5,92.6,3.8,0.1,0.3,0,0.5
Bath , Kentucky,12268,49.7,50.3,96,1.1,0.1,0.5,0,0.6
Bell , Kentucky,27188,49,51,95.3,2.9,0.2,0.1,0,0.1
Boone , Kentucky,129095,49.6,50.4,90.8,3.1,0.1,2.3,0,1.3
Bourbon , Kentucky,20144,48,52,90.4,7.1,0,0.4,0,1.4
Boyd , Kentucky,48091,49.8,50.2,94.5,2.6,0.1,0.3,0,0.3
Boyle , Kentucky,29913,49.8,50.2,88.2,7.1,0.3,0.9,0,0.7
Bracken , Kentucky,8306,50.4,49.6,96.8,0,0.2,0.6,0,1.1
Breathitt , Kentucky,13116,50.1,49.9,97.4,1.1,0.2,0.2,0,0.4
Breckinridge , Kentucky,20080,50.2,49.8,95.4,1.8,0.2,0.4,0,0.5
Bullitt , Kentucky,79466,49.9,50.1,96,0.8,0.2,0.7,0.1,0.5
Butler , Kentucky,12745,50.3,49.7,96.9,0.4,0.2,0.2,0,1.1
Caldwell , Kentucky,12727,48.5,51.5,92.3,6.6,0,0,0,0
Calloway , Kentucky,38776,48.5,51.5,91.1,3.4,0.3,1.5,0.1,0.5
Campbell , Kentucky,92267,48.9,51.1,93.8,3.2,0.1,1,0,0.5
Carroll , Kentucky,10711,50.9,49.1,92.1,3,0.2,0.4,0,3.1
Carter , Kentucky,27290,49.2,50.8,97.6,1,0.4,0.1,0,0.1
Casey , Kentucky,15796,49,51,97.3,0.7,0.3,0.2,0,0.2
Christian , Kentucky,72263,53.2,46.8,71.3,21.2,0.6,1.6,0.4,1.1
Clark , Kentucky,35872,49,51,92.7,4.6,0.1,0.6,0,0.4
Clay , Kentucky,20621,52.5,47.5,93.6,3.4,0.3,0,0.1,0.8
Clinton , Kentucky,10211,49.8,50.2,97.6,0.4,0,0.2,0,0.8
Crittenden , Kentucky,9083,50.6,49.4,96.6,1.2,0.3,0,0,0.9
Cumberland , Kentucky,6713,49,51,93.1,3.9,0,0.4,0,1.6
Daviess , Kentucky,99937,48.8,51.2,90.6,4.3,0.2,1.5,0.3,0.5
Edmonson , Kentucky,12122,50.3,49.7,95.6,1.5,0.3,0.1,0,0
Elliott , Kentucky,7517,57,43,96.2,3.4,0.1,0,0,0.1
Estill , Kentucky,14313,49.6,50.4,97.6,0.2,0.4,0.1,0,0
Fayette , Kentucky,318734,49.1,50.9,75.4,14.4,0.3,3.6,0.1,2.7
Fleming , Kentucky,14479,49.4,50.6,96.2,1.6,0.1,0.2,0,0.8
Floyd , Kentucky,36926,48.9,51.1,97.6,1.1,0,0.3,0,0.1
Franklin , Kentucky,50296,48.5,51.5,82.6,9.5,0.2,1.8,0,2
Fulton , Kentucky,6210,50,50,72.2,25,0.4,0.1,0,0.5
Gallatin , Kentucky,8703,51.4,48.6,93.5,1.8,0,0.1,0,2.8
Garrard , Kentucky,17328,48.9,51.1,96.1,1.1,0.4,0.1,0,0.3
Grant , Kentucky,24915,49.4,50.6,94.8,0.8,0.1,0.2,0,2.5
Graves , Kentucky,37294,49.2,50.8,90.4,4.4,0.1,0.5,0.3,1.6
Grayson , Kentucky,26178,49.9,50.1,95.8,1,0.4,0.2,0,1.2
Green , Kentucky,11023,48.9,51.1,95,1.3,2.8,0.1,0,0
Greenup , Kentucky,35765,48.7,51.3,96.9,0.9,0.1,0.5,0,0.3
Hancock , Kentucky,8719,51.5,48.5,96.4,1.4,0.1,0.7,0,0
Hardin , Kentucky,108095,49.7,50.3,79.6,11.5,0.3,2.1,0.4,1.3
Harlan , Kentucky,27134,48.4,51.6,95.4,2.6,0.1,0.4,0,0.4
Harrison , Kentucky,18668,49,51,95.4,1.9,0,0,0,0.6
Hart , Kentucky,18627,49.2,50.8,93.3,4.2,0.5,0.5,0,0.1
Henderson , Kentucky,46137,48.4,51.6,88,7.3,0.2,0.4,0,1.2
Henry , Kentucky,15814,49.4,50.6,93.3,2.9,0.2,0.7,0.1,1.3
Hopkins , Kentucky,45664,48.7,51.3,90,6.4,0.4,0.6,0,0.4
Jackson , Kentucky,13373,49.8,50.2,99.6,0.1,0,0,0,0
Jefferson , Kentucky,767154,48.3,51.7,71.9,21.5,0.2,2.8,0,1
Jessamine , Kentucky,52422,48.6,51.4,91.2,4,0.4,1.4,0,0.9
Johnson , Kentucky,22843,49,51,97.3,0.5,0.1,1.5,0,0.1
Kenton , Kentucky,164688,49.4,50.6,90.1,4.5,0.1,1.2,0,1.6
Knott , Kentucky,15513,49.6,50.4,97.9,0.6,0,0.1,0.1,0.1
Knox , Kentucky,31467,48.7,51.3,96.7,1.2,0.8,0.4,0,0
Larue , Kentucky,14156,49.6,50.4,92.9,3.6,0.1,0.5,0,1.9
Laurel , Kentucky,60180,48.9,51.1,97,0.9,0.4,0.2,0,0.1
Lawrence , Kentucky,15783,50,50,97.5,0.6,0,0.4,0,0.1
Lee , Kentucky,6751,51.9,48.1,96.8,0.8,0.3,0.6,0,0
Leslie , Kentucky,10472,48.4,51.6,97.7,0.1,0,0.4,0,0.7
Letcher , Kentucky,22676,48.9,51.1,97.9,0.4,0.2,0.3,0,0.2
Lewis , Kentucky,13490,49.8,50.2,97.8,0.5,1.1,0.1,0,0
Lincoln , Kentucky,24458,49,51,94.6,2,0,0,0,0.5
Livingston , Kentucky,9263,49.9,50.1,97.4,0.7,0.1,0.1,0,0
Logan , Kentucky,26849,49,51,90.7,6.2,0.1,0.3,0,0.5
Lyon , Kentucky,8186,54.9,45.1,93.3,4.5,0.4,0.1,0,0.2
McCracken , Kentucky,65284,47.8,52.2,85.2,10.9,0.3,0.7,0.1,0.5
McCreary , Kentucky,17635,54.5,45.5,90.5,5.7,0.8,0.7,0.1,0.5
McLean , Kentucky,9331,49.3,50.7,97.6,0.5,0.2,0.2,0,0.1
Madison , Kentucky,89700,48.8,51.2,91.4,4.3,0.4,1,0,0.7
Magoffin , Kentucky,12666,50.1,49.9,99.9,0,0,0,0,0
Marion , Kentucky,19232,50.7,49.3,89.5,7.4,0.1,0.2,0.4,0.9
Marshall , Kentucky,31166,49.2,50.8,97.7,0.6,0.2,0.3,0,0.1
Martin , Kentucky,11919,55.2,44.8,93.5,5.3,0.2,0,0.1,0.1
Mason , Kentucky,17153,49.5,50.5,90.7,5.4,0,0.9,0,0.3
Meade , Kentucky,28326,50.7,49.3,91.7,3.4,0.8,0.8,0,0.7
Menifee , Kentucky,6405,53.4,46.6,99.4,0.1,0,0.1,0,0
Mercer , Kentucky,21516,49.3,50.7,93,3.9,0.2,0.8,0,0.6
Metcalfe , Kentucky,10004,49.2,50.8,96.3,1.1,0,0.3,0,0
Monroe , Kentucky,10634,50.5,49.5,95.8,2.8,0.1,0,0.1,0.5
Montgomery , Kentucky,27759,48.8,51.2,94.8,2.9,0.3,0.1,0.1,0.5
Morgan , Kentucky,13285,55.9,44.1,93.7,3.3,0.1,1.2,0.3,0.2
Muhlenberg , Kentucky,31081,49.2,50.8,92.7,4.9,0.2,0.6,0,0.2
Nelson , Kentucky,45388,49.6,50.4,91.2,5,0.1,0.6,0,1.2
Nicholas , Kentucky,7100,47.5,52.5,96.5,1.3,0.3,0,0,0.7
Ohio , Kentucky,24071,49.7,50.3,97.3,0.9,0,0.3,0,0.5
Oldham , Kentucky,65374,52.5,47.5,91.2,3.7,0.2,1.5,0,0.9
Owen , Kentucky,10741,49.4,50.6,96,1.6,0.2,0,0.2,1.4
Pendleton , Kentucky,14520,50.7,49.3,97.2,0.8,0.1,0.6,0.3,0.1
Perry , Kentucky,26917,49.3,50.7,96,1.1,0.1,1.2,0.3,0.3
Pike , Kentucky,60483,48.8,51.2,97.5,0.9,0.2,0.5,0,0.2
Powell , Kentucky,12321,49.1,50.9,96.8,0.2,0.4,0.6,0,0.1
Pulaski , Kentucky,64145,49.1,50.9,96.2,1,0.3,0.8,0,0.5
Rockcastle , Kentucky,16827,48.6,51.4,98.1,0.1,1.1,0,0,0
Rowan , Kentucky,24499,48,52,96,1.8,0.2,0.7,0,0.2
Russell , Kentucky,17760,48.9,51.1,94.6,0.8,0.1,0.5,0,3
Scott , Kentucky,53517,49.5,50.5,88.1,4.8,0.2,1,0,2.7
Shelby , Kentucky,46786,48.3,51.7,87.6,6.3,0,0.9,0.1,2
Simpson , Kentucky,18063,49.4,50.6,85.6,9.9,0.6,0.8,0,1.4
Spencer , Kentucky,18246,50.8,49.2,96.3,1.2,0.2,0.7,0,0.1
Taylor , Kentucky,25500,49.1,50.9,91,3.9,0,1.1,0,0.3
Todd , Kentucky,12350,49,51,87.8,8,0,0,0,2.4
Trigg , Kentucky,14344,49.3,50.7,90.4,8.7,0,0.4,0,0
Trimble , Kentucky,8637,49.1,50.9,96.4,0,0.3,0.1,0.5,1
Union , Kentucky,14802,51.3,48.7,83.3,12.9,0,0.6,0,0.3
Warren , Kentucky,126427,48.9,51.1,81.6,9,0.3,3.8,0.3,2.2
Washington , Kentucky,12019,48.8,51.2,89.3,5.2,0,0.9,0,2.1
Wayne , Kentucky,20609,49.3,50.7,94.8,2.3,0,0.3,0,1
Webster , Kentucky,13155,49.1,50.9,90.9,4.1,0.1,0,0.1,2.2
Whitley , Kentucky,36089,49,51,96.8,1,0.2,0.3,0.1,0.4
Wolfe , Kentucky,7223,49.8,50.2,98.8,0.1,0.4,0,0,0
Woodford , Kentucky,26097,48.1,51.9,90.7,4.5,0,0.3,0,2.1
Acadia , Louisiana,62568,48.7,51.3,79.1,17.8,0,0.1,0,0.9
Allen , Louisiana,25661,57,43,73.7,19,2.1,0.7,0,1.6
Ascension , Louisiana,121176,49.5,50.5,72.9,21.8,0,1.1,0,1.2
Assumption , Louisiana,22714,48.5,51.5,68,30,0.4,0.2,0,0.4
Avoyelles , Louisiana,40882,50.4,49.6,66.4,28.8,0.9,0.5,0.2,0.3
Beauregard , Louisiana,36769,50.9,49.1,82.9,12.5,0.9,0.3,0,0.6
Bienville , Louisiana,13668,47.7,52.3,54.5,43,0,0.1,0,1.1
Bossier , Louisiana,126131,49.4,50.6,72.1,22.3,0.5,1.7,0.2,1
Caddo , Louisiana,248361,47.4,52.6,46.4,48.9,0.4,1.3,0,1
Calcasieu , Louisiana,200182,48.8,51.2,70.2,24.9,0.3,1.4,0,0.9
Caldwell , Louisiana,9996,52.8,47.2,82.1,16.7,0.5,0.1,0,0.2
Cameron , Louisiana,6868,48.9,51.1,93.3,4.2,0.5,0.4,0,1.3
Catahoula , Louisiana,9893,52.7,47.3,66.3,32.4,0.2,0.1,0,0.7
Claiborne , Louisiana,16153,57,43,45.8,52,0.2,0.1,0,0.5
Concordia , Louisiana,20021,51,49,57.8,41.1,0.1,0.2,0.1,0.5
De Soto , Louisiana,27216,48.4,51.6,60.1,35.7,1.1,0.2,0.1,0.6
East Baton Rouge , Louisiana,444094,47.9,52.1,47.3,45.9,0.2,3.1,0,1.5
East Carroll , Louisiana,7225,60.5,39.5,29.1,69.9,0,0,0,0.1
East Feliciana , Louisiana,19499,55,45,54.2,44,0.5,0.3,0,0.3
Evangeline , Louisiana,33636,51,49,67.8,27.5,0.2,0.4,0,2.3
Franklin , Louisiana,20322,49.1,50.9,65.6,33,0,0.1,0,0
Grant , Louisiana,22348,56.6,43.4,78.5,16.7,0.3,0.2,0,1.9
Iberia , Louisiana,72691,48.8,51.2,61.1,31.7,0.1,2.7,0,1.7
Iberville , Louisiana,32956,50.6,49.4,49.3,48.4,0.2,0.1,0,0.6
Jackson , Louisiana,15926,50.7,49.3,68.4,30,0.1,0.5,0,0.7
Jefferson , Louisiana,435300,48.5,51.5,62.8,26.8,0.4,4.2,0,3.7
Jefferson Davis , Louisiana,31467,49.5,50.5,79.9,16.6,0.9,0.5,0,0.3
Lafayette , Louisiana,240091,48.8,51.2,69.7,25.9,0.2,1.8,0,0.6
Lafourche , Louisiana,98214,49.1,50.9,78.8,13.3,2.4,0.7,0,2.2
LaSalle , Louisiana,14949,51.7,48.3,84.5,12.4,1,0.1,0.1,0.7
Lincoln , Louisiana,47356,48.7,51.3,53.9,40.8,0.3,1.6,0,2
Livingston , Louisiana,138111,49.1,50.9,91,6,0.2,0.5,0,0.6
Madison , Louisiana,11472,49.8,50.2,35.5,63.6,0.1,0,0,0.5
Morehouse , Louisiana,25992,47.9,52.1,49.5,49.2,0,0.5,0,0.4
Natchitoches , Louisiana,38963,47.8,52.2,53.6,40.5,1.1,0.7,0,2.3
Orleans , Louisiana,389648,47.6,52.4,34,59.7,0.2,2.9,0,1.4
Ouachita , Louisiana,156075,48,52,59.7,37.5,0.2,1.1,0,0.4
Plaquemines , Louisiana,23373,49.7,50.3,67.9,20.5,1.3,3.6,0,2.6
Pointe Coupee , Louisiana,22158,47.9,52.1,60.9,35.5,0.3,0.3,0,1.9
Rapides , Louisiana,131546,48.4,51.6,63.7,31.8,0.7,1.4,0,0.5
Red River , Louisiana,8618,47.2,52.8,57.3,39,0,0,0.1,0.8
Richland , Louisiana,20474,48.6,51.4,61.8,35.6,0,0.7,0,0.5
Sabine , Louisiana,24088,49.5,50.5,69.5,16.3,7.3,0.4,0,0.7
St. Bernard , Louisiana,45694,49,51,69.7,22.9,0.4,2.4,0.1,1.9
St. Charles , Louisiana,52724,49.5,50.5,69.8,26.5,0.4,1.1,0,1.3
St. Helena , Louisiana,10411,48.4,51.6,44,54,1,0.4,0,0.3
St. James , Louisiana,21357,48.1,51.9,48.4,49.7,0.1,0.1,0.1,0.6
St. John the Baptist , Louisiana,43446,49,51,39.6,55.7,0,1.1,0,1.4
St. Landry , Louisiana,83449,48.1,51.9,56.2,41.1,0.2,0.3,0,0.6
St. Martin , Louisiana,53752,49.2,50.8,66.1,29.3,0.5,1,0,1.1
St. Mary , Louisiana,51734,49.5,50.5,60.2,31.2,1.2,1.5,0,1.9
St. Tammany , Louisiana,252093,48.5,51.5,83,11.8,0.6,1.6,0,1
Tangipahoa , Louisiana,130504,48.5,51.5,67.1,29.6,0.3,0.8,0,0.4
Terrebonne , Louisiana,112587,49.1,50.9,70.7,19.2,5.7,0.9,0.1,1.1
Union , Louisiana,22475,49.5,50.5,71.3,24.9,0.1,0.1,0.2,1.9
Vermilion , Louisiana,59867,48.6,51.4,81.4,14.8,0.4,2.1,0,0.4
Vernon , Louisiana,51007,53.2,46.8,75.8,14.6,1.3,2.1,0.4,2.3
Washington , Louisiana,46457,49.4,50.6,67,30.1,0.3,0.1,0,0.7
Webster , Louisiana,39631,48.6,51.4,63.5,34.2,0.4,0.3,0.1,0.2
West Baton Rouge , Louisiana,25860,49.7,50.3,58,39.9,0.1,0.2,0,0.7
West Carroll , Louisiana,11180,51,49,80.4,16.1,0.3,0,0.1,2.1
West Feliciana , Louisiana,15377,63.7,36.3,53.6,44.3,0.1,0.7,0,0.2
Winn , Louisiana,14494,53.4,46.6,66.4,31.6,0.2,0,0,0.7
Androscoggin , Maine,107444,48.9,51.1,91.5,2.1,0.2,0.8,0,0.2
Aroostook , Maine,68269,49.4,50.6,95,1,1.8,0.4,0,0.2
Cumberland , Maine,290944,48.6,51.4,91.9,2.9,0.2,2.1,0,0.4
Franklin , Maine,30019,48.8,51.2,96.6,0.3,0.4,0.4,0.1,0.2
Hancock , Maine,54541,48.4,51.6,95.9,0.9,0.4,1,0.1,0.1
Kennebec , Maine,121545,48.7,51.3,95.9,0.9,0.5,0.9,0.1,0.1
Knox , Maine,39823,49.5,50.5,96.4,0.6,0.3,0.5,0,0
Lincoln , Maine,34067,48.8,51.2,97,0.5,0.4,1,0,0.2
Oxford , Maine,57325,49.4,50.6,96.3,0.4,0.3,0.5,0,0.2
Penobscot , Maine,151748,49.6,50.4,94.8,0.9,1.1,1,0,0.2
Piscataquis , Maine,16887,50,50,96.1,0.5,0.5,0.7,0,0.6
Sagadahoc , Maine,35277,48.8,51.2,95.6,0.8,0.3,0.6,0,0.2
Somerset , Maine,50710,49.5,50.5,96.7,0.6,0.4,0.3,0,0.1
Waldo , Maine,39418,49.1,50.9,96.5,0.6,0.5,0.5,0,0.2
Washington , Maine,31694,49.3,50.7,91.2,0.5,5.1,0.4,0,0.6
York , Maine,203102,48.8,51.2,95.7,0.9,0.4,1.3,0,0.2
Allegany , Maryland,71977,52.3,47.7,88.2,8.4,0.1,0.9,0,0.3
Anne Arundel , Maryland,567696,49.5,50.5,73.3,16.5,0.2,3.8,0.1,2.3
Baltimore , Maryland,827625,47.4,52.6,61.4,28.4,0.3,6,0.1,1.2
Calvert , Maryland,91082,49.7,50.3,81.2,11.8,0.1,1.9,0,0.7
Caroline , Maryland,32875,48.7,51.3,80.4,14,0.4,0.7,0,2.2
Carroll , Maryland,167522,49.5,50.5,91.8,3.4,0.2,1.8,0.1,0.8
Cecil , Maryland,102517,49.9,50.1,88.2,6.7,0.2,1.4,0,1
Charles , Maryland,157671,48.2,51.8,45.5,44.4,0.5,3.1,0,0.7
Dorchester , Maryland,32261,47.5,52.5,65.6,27.4,0.1,1,0,1.8
Frederick , Maryland,248472,49.3,50.7,81.1,9.4,0.2,4.4,0.1,1.5
Garrett , Maryland,29376,49.6,50.4,96.8,0.8,0.2,0.4,0,0.1
Harford , Maryland,251025,48.9,51.1,79,13.6,0.2,2.7,0,1.4
Howard , Maryland,315327,48.9,51.1,58,18.7,0.2,17.7,0,1.2
Kent , Maryland,19593,47.7,52.3,81.4,14.4,0.1,1.3,0,0.8
Montgomery , Maryland,1040133,48.3,51.7,53.8,18.2,0.3,14.7,0,8.6
Prince George's , Maryland,906202,48.2,51.8,18,63,0.3,4.2,0,11.6
Queen Anne's , Maryland,49355,49.5,50.5,89.4,6.8,0.1,0.9,0.1,1
